97142,Stamet Sangia Ni Bandera,SULAWESI,SULAWESI,SULAWESI,121.6108,-4.1806,309.7,302.1461
97144,Stamet Maritim Kendari,SULAWESI,SULAWESI,SULAWESI,122.5895,-3.9701,276.9,298.9155
97146,Stageof Kendari,SULAWESI,SULAWESI,SULAWESI,122.62,-3.96,351,277.7675
97150,Staklim Konawe Selatan,SULAWESI,SULAWESI,SULAWESI,122.449,-4.056,415.8,293.6562
97180,Stamet Sultan Hasanuddin,SULAWESI,SULAWESI,SULAWESI,119.55,-5.07,59.8,23.9796
97182,Stamet Maritim Paotere,SULAWESI,SULAWESI,SULAWESI,119.4198,-5.1137,21.2,47.0489
97184,Staklim Maros,SULAWESI,SULAWESI,SULAWESI,119.572,-4.9308,62.3,46.9656
97192,Stamet Beto Ambari,SULAWESI,SULAWESI,SULAWESI,122.62,-5.47,92.4,33.6743
97230,Stamet I Gusti Ngurah Rai ,BALINUSRA,BALINUSRA,BALINUSRA,115.17,-8.75,48.2,1.4434
97232,Stageof Denpasar,BALINUSRA,BALINUSRA,BALINUSRA,115.21,-8.6769,4.3,2.5906
97236,Staklim Jembrana,BALINUSRA,BALINUSRA,BALINUSRA,114.6176,-8.341,63,4.8637
97240,Stamet Zainuddin Abdul Madjid,BALINUSRA,BALINUSRA,BALINUSRA,116.2498,-8.7528,2.9,0.19852
97242,Staklim Lombok Barat,BALINUSRA,BALINUSRA,BALINUSRA,116.1709,-8.6363,6.7,0.51446
97260,Stamet Sultan Muhammad Kaharuddin,BALINUSRA,BALINUSRA,BALINUSRA,117.4134,-8.4885,5.1,0
97270,Stamet Sultan Muhammad Salahuddin,BALINUSRA,BALINUSRA,BALINUSRA,118.6928,-8.5428,1.6,0.37605
97282,Stamet Komodo,BALINUSRA,BALINUSRA,BALINUSRA,119.8868,-8.4867,0,0
97284,Stamet Frans Sales Lega,BALINUSRA,BALINUSRA,BALINUSRA,120.45,-8.63,87.9,4.1503
97300,Stamet Fransiskus Xaverius Seda,BALINUSRA,BALINUSRA,BALINUSRA,122.2375,-8.6358,0,0
97310,Stamet Gewayantana,BALINUSRA,BALINUSRA,BALINUSRA,122.9986,-8.2752,0.4,0
97320,Stamet Mali,BALINUSRA,BALINUSRA,BALINUSRA,124.59,-8.1347,0.4,0
97372,Stamet Eltari,BALINUSRA,BALINUSRA,BALINUSRA,123.6704,-10.1678,4.6,0
97374,Staklim Kupang,BALINUSRA,BALINUSRA,BALINUSRA,123.6672,-10.1386,1,0
97378,Stamet David Constatijn Saudale,BALINUSRA,BALINUSRA,BALINUSRA,123.0739,-10.7666,3.2,0.13593
97380,Stamet Tardamu,BALINUSRA,BALINUSRA,BALINUSRA,121.83,-10.5,0.8,0.31109
97406,Stamet Gamar Malamo,MALUKU,MALUKU,MALUKU,127.7905,1.8409,38.5,28.5921
